Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,959.88,72.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,16.1,1920.0,1080.0,False,1.0
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),ACER,647.88,66.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,839.88,66.0,Windows,INTEL,11.0,8.0,16.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,587.88,62.0,Windows,INTEL,11.0,6.0,12.0,8.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),LENOVO,959.88,70.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),ASUS,239.88,57.0,Windows,INTEL,12.0,2.0,2.0,4.0,DDR4,256,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),HP,1079.88,64.0,Windows,INTEL,13.0,8.0,12.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,16.1,1920.0,1080.0,False,1.0
Infinix INBook Y1 Plus Neo 2023 XL30 Laptop (Intel Celeron N5100/ 4GB/ 128GB SSD/ Win 11 Home),INFINIX,227.88,57.0,Windows,INTEL,11.0,4.0,4.0,4.0,DDR4X,128,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),ASUS,719.88,63.0,Windows,INTEL,12.0,10.0,16.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),LENOVO,641.88,65.0,Windows,AMD,7.0,6.0,12.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),DELL,442.68,59.0,Windows,AMD,5.0,6.0,12.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),INFINIX,899.88,68.0,Windows,INTEL,13.0,14.0,20.0,32.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
